Waterbody Name,Fish Species Present at Waterbody,Comments,Special Regulations on Waterbody,County,Types of Public Access,Public Fishing Access Owner,Waterbody Information,Longitude,Latitude,Location
Cayuta Creek,Brown Trout* - Sunfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.611963564,42.227337629,"(42.227337629, -76.611963564)"
West Branch Owego Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31498.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement - Potato Hill State Forest (DEC),http://www.dec.ny.gov/outdoor/71802.html,-76.244183074,42.342364928,"(42.342364928, -76.244183074)"
Springwater Creek,Brown Trout - Rainbow Trout,City of Rochester permit required north of Kellogg Rd (585-428-6680).,http://www.dec.ny.gov/outdoor/31505.html,Livingston,Shore Fishing - Public Fishing Rights,Springwater Town Park - Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsprngwtck.pdf,-77.602341462,42.634651912,"(42.634651912, -77.602341462)"
Irondequoit Creek,Brown Trout* - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing,Ellison County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrirondiqck.pdf,-77.521331332,43.150610148,"(43.150610148, -77.521331332)"
Black Creek,Northern Pike,None,,Monroe,Shore Fishing - Boat Launch (Hand Launch),Black Creek Waterway Access (DEC),http://www.dec.ny.gov/outdoor/23886.html,-77.680819269,43.094731591,"(43.094731591, -77.680819269)"
Cryder Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/crydercreek.pdf,-77.774019415,42.036298217,"(42.036298217, -77.774019415)"
Oatka Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31448.html,Genesee,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.944782026,43.013874737,"(43.013874737, -77.944782026)"
Mill Creek,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr8.pdf,-77.612254518,42.543555961,"(42.543555961, -77.612254518)"
Sandy Creek,Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandycreek.pdf,-77.964620723,43.297090234,"(43.297090234, -77.964620723)"
Oak Orchard Creek,Atlantic Salmon - Brown Trout - Chinook Salmon* - Coho Salmon* - Steelhead*,Privately owned campground available.,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Footpath,DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.239453738,43.337392769,"(43.337392769, -78.239453738)"
Marsh Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroakorchrv.pdf,-78.134251767,43.327022811,"(43.327022811, -78.134251767)"
